,"(mm) Precipitation (TerraClimate) at karawang, Jan 1958 to Dec 2022"
"1958-01-01",249
"1958-02-01",320
"1958-03-01",230
"1958-04-01",133
"1958-05-01",150
"1958-06-01",61
"1958-07-01",177
"1958-08-01",88
"1958-09-01",88
"1958-10-01",86
"1958-11-01",136
"1958-12-01",269
"1959-01-01",186
"1959-02-01",250
"1959-03-01",211
"1959-04-01",146
"1959-05-01",164
"1959-06-01",113
"1959-07-01",70
"1959-08-01",7
"1959-09-01",13
"1959-10-01",60
"1959-11-01",161
"1959-12-01",171
"1960-01-01",346
"1960-02-01",327
"1960-03-01",196
"1960-04-01",257
"1960-05-01",130
"1960-06-01",59
"1960-07-01",82
"1960-08-01",26
"1960-09-01",52
"1960-10-01",89
"1960-11-01",204
"1960-12-01",165
"1961-01-01",397
"1961-02-01",239
"1961-03-01",99
"1961-04-01",114
"1961-05-01",166
"1961-06-01",33
"1961-07-01",1
"1961-08-01",4
"1961-09-01",2
"1961-10-01",10
"1961-11-01",157
"1961-12-01",158
"1962-01-01",322
"1962-02-01",303
"1962-03-01",173
"1962-04-01",108
"1962-05-01",68
"1962-06-01",140
"1962-07-01",103
"1962-08-01",46
"1962-09-01",44
"1962-10-01",149
"1962-11-01",141
"1962-12-01",271
"1963-01-01",317
"1963-02-01",279
"1963-03-01",130
"1963-04-01",70
"1963-05-01",61
"1963-06-01",14
"1963-07-01",6
"1963-08-01",0
"1963-09-01",8
"1963-10-01",59
"1963-11-01",102
"1963-12-01",170
"1964-01-01",210
"1964-02-01",170
"1964-03-01",141
"1964-04-01",125
"1964-05-01",130
"1964-06-01",57
"1964-07-01",28
"1964-08-01",62
"1964-09-01",98
"1964-10-01",160
"1964-11-01",199
"1964-12-01",184
"1965-01-01",432
"1965-02-01",291
"1965-03-01",158
"1965-04-01",98
"1965-05-01",102
"1965-06-01",60
"1965-07-01",26
"1965-08-01",6
"1965-09-01",22
"1965-10-01",32
"1965-11-01",147
"1965-12-01",192
"1966-01-01",236
"1966-02-01",197
"1966-03-01",222
"1966-04-01",92
"1966-05-01",148
"1966-06-01",64
"1966-07-01",4
"1966-08-01",4
"1966-09-01",47
"1966-10-01",131
"1966-11-01",162
"1966-12-01",241
"1967-01-01",217
"1967-02-01",326
"1967-03-01",188
"1967-04-01",120
"1967-05-01",36
"1967-06-01",3
"1967-07-01",6
"1967-08-01",1
"1967-09-01",2
"1967-10-01",39
"1967-11-01",160
"1967-12-01",267
"1968-01-01",216
"1968-02-01",292
"1968-03-01",178
"1968-04-01",117
"1968-05-01",210
"1968-06-01",149
"1968-07-01",140
"1968-08-01",75
"1968-09-01",80
"1968-10-01",40
"1968-11-01",124
"1968-12-01",239
"1969-01-01",280
"1969-02-01",233
"1969-03-01",150
"1969-04-01",149
"1969-05-01",91
"1969-06-01",107
"1969-07-01",21
"1969-08-01",12
"1969-09-01",115
"1969-10-01",87
"1969-11-01",127
"1969-12-01",166
"1970-01-01",253
"1970-02-01",315
"1970-03-01",289
"1970-04-01",164
"1970-05-01",173
"1970-06-01",152
"1970-07-01",37
"1970-08-01",13
"1970-09-01",51
"1970-10-01",142
"1970-11-01",304
"1970-12-01",205
"1971-01-01",264
"1971-02-01",325
"1971-03-01",178
"1971-04-01",115
"1971-05-01",147
"1971-06-01",99
"1971-07-01",32
"1971-08-01",9
"1971-09-01",28
"1971-10-01",192
"1971-11-01",192
"1971-12-01",205
"1972-01-01",317
"1972-02-01",216
"1972-03-01",309
"1972-04-01",114
"1972-05-01",108
"1972-06-01",6
"1972-07-01",20
"1972-08-01",10
"1972-09-01",1
"1972-10-01",19
"1972-11-01",147
"1972-12-01",185
"1973-01-01",268
"1973-02-01",334
"1973-03-01",247
"1973-04-01",152
"1973-05-01",185
"1973-06-01",132
"1973-07-01",53
"1973-08-01",56
"1973-09-01",123
"1973-10-01",156
"1973-11-01",166
"1973-12-01",205
"1974-01-01",182
"1974-02-01",239
"1974-03-01",198
"1974-04-01",142
"1974-05-01",152
